paperId,url,title,abstract,year,referenceCount,citationCount,influentialCitationCount,isOpenAccess,fieldsOfStudy/0,authors/0/authorId,authors/0/name,authors/1/authorId,authors/1/name,fieldsOfStudy/1,fieldsOfStudy/2,authors/2/authorId,authors/2/name,authors/3/authorId,authors/3/name,authors/4/authorId,authors/4/name,authors/5/authorId,authors/5/name,authors/6/authorId,authors/6/name,authors/7/authorId,authors/7/name,authors/8/authorId,authors/8/name,authors/9/authorId,authors/9/name,authors/10/authorId,authors/10/name,authors/11/authorId,authors/11/name,authors/12/authorId,authors/12/name,authors/13/authorId,authors/13/name,authors/14/authorId,authors/14/name,authors/15/authorId,authors/15/name,authors/16/authorId,authors/16/name,authors/17/authorId,authors/17/name,authors/18/authorId,authors/18/name,authors/19/authorId,authors/19/name,authors/20/authorId,authors/20/name,authors/21/authorId,authors/21/name,authors/22/authorId,authors/22/name,authors/23/authorId,authors/23/name,authors/24/authorId,authors/24/name,authors/25/authorId,authors/25/name,authors/26/authorId,authors/26/name,fieldsOfStudy/3
56e9635e0ac67fea51db762793bfcc458eab2908,https://www.semanticscholar.org/paper/56e9635e0ac67fea51db762793bfcc458eab2908,The research of the fast SVM classifier method,"Support vector machine (SVM) is a machine learning method developed in the mid-1990s based on statistical learning theory. SVM classifier is currently more popular classifier. This paper presents a boundary detection technique for retaining the potential support vector. Through seeking to structural risk minimization of the SVM, it improves the learning generalization ability and achieves the minimization of empirical risk and confidence range in the case of small statistical sample size and it can also obtain the desired good statistical law.",2015,8,59,8,False,Computer Science,1637773388,Yujun Yang,2109027908.0,Jianping Li,,,1936072.0,Yimei Yang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e30a5ce358d6285b592c8000769802392e8128e0,https://www.semanticscholar.org/paper/e30a5ce358d6285b592c8000769802392e8128e0,Designing for effective end-user interaction with machine learning,"End-user interactive machine learning is a promising tool for enhancing human capabilities with large data. Recent work has shown that we can create end-user interactive machine learning systems for specific applications. However, we still lack a generalized understanding of how to design effective end-user interaction with interactive machine learning systems. My dissertation work aims to advance our understanding of this question by investigating new techniques that move beyond naïve or ad-hoc approaches and balance the needs of both end-users and machine learning algorithms. Although these explorations are grounded in specific applications, we endeavored to design strategies independent of application or domain specific features. As a result, our findings can inform future end-user interaction with machine learning systems.",2011,259,37,3,True,Computer Science,1719124,Saleema Amershi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eca7a76e09679c5d9d44349ae3073aa18bb49460,https://www.semanticscholar.org/paper/eca7a76e09679c5d9d44349ae3073aa18bb49460,EEG-Based Emotion Recognition in Music Listening,"Ongoing brain activity can be recorded as electroen-cephalograph (EEG) to discover the links between emotional states and brain activity. This study applied machine-learning algorithms to categorize EEG dynamics according to subject self-reported emotional states during music listening. A framework was proposed to optimize EEG-based emotion recognition by systematically 1) seeking emotion-specific EEG features and 2) exploring the efficacy of the classifiers. Support vector machine was employed to classify four emotional states (joy, anger, sadness, and pleasure) and obtained an averaged classification accuracy of 82.29% ± 3.06% across 26 subjects. Further, this study identified 30 subject-independent features that were most relevant to emotional processing across subjects and explored the feasibility of using fewer electrodes to characterize the EEG dynamics during music listening. The identified features were primarily derived from electrodes placed near the frontal and the parietal lobes, consistent with many of the findings in the literature. This study might lead to a practical system for noninvasive assessment of the emotional states in practical or clinical applications.",2010,37,740,50,False,Psychology,47904249,Yuan-Pin Lin,2116630640.0,Chi-Hong Wang,Computer Science,Medicine,144437435.0,T. Jung,3351833.0,Tien-Lin Wu,145411225.0,Shyh-Kang Jeng,145767609.0,J. Duann,3716434.0,Jyh-Horng Chen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a32933750e0f326159c0aafe7252ecdc2299e7b3,https://www.semanticscholar.org/paper/a32933750e0f326159c0aafe7252ecdc2299e7b3,Real-World Integration of a Sepsis Deep Learning Technology Into Routine Clinical Care: Implementation Study,"Background Successful integrations of machine learning into routine clinical care are exceedingly rare, and barriers to its adoption are poorly characterized in the literature. Objective This study aims to report a quality improvement effort to integrate a deep learning sepsis detection and management platform, Sepsis Watch, into routine clinical care. Methods In 2016, a multidisciplinary team consisting of statisticians, data scientists, data engineers, and clinicians was assembled by the leadership of an academic health system to radically improve the detection and treatment of sepsis. This report of the quality improvement effort follows the learning health system framework to describe the problem assessment, design, development, implementation, and evaluation plan of Sepsis Watch. Results Sepsis Watch was successfully integrated into routine clinical care and reshaped how local machine learning projects are executed. Frontline clinical staff were highly engaged in the design and development of the workflow, machine learning model, and application. Novel machine learning methods were developed to detect sepsis early, and implementation of the model required robust infrastructure. Significant investment was required to align stakeholders, develop trusting relationships, define roles and responsibilities, and to train frontline staff, leading to the establishment of 3 partnerships with internal and external research groups to evaluate Sepsis Watch. Conclusions Machine learning models are commonly developed to enhance clinical decision making, but successful integrations of machine learning into routine clinical care are rare. Although there is no playbook for integrating deep learning into clinical care, learnings from the Sepsis Watch integration can inform efforts to develop machine learning technologies at other health care delivery systems.",2020,64,46,2,True,Computer Science,47057856,M. Sendak,2076928049.0,W. Ratliff,Medicine,,1584817616.0,Dina Sarro,66307065.0,E. Alderton,2585470.0,Joseph D. Futoma,145866390.0,M. Gao,48448064.0,M. Nichols,1395939124.0,M. Revoir,1584817531.0,Faraz Yashar,2111436558.0,Corinne Miller,46246189.0,K. Kester,69437797.0,Sahil Sandhu,145820969.0,Kristin M Corey,35633285.0,Nathan Brajer,2111728001.0,Christelle Tan,2026969787.0,Anthony L Lin,32241953.0,Tres Brown,1584836339.0,Susan Engelbosch,2688177.0,K. Anstrom,21817215.0,M. Elish,145993598.0,K. Heller,51267726.0,R. Donohoe,1584836388.0,J. Theiling,2064198869.0,Eric Poon,12308037.0,S. Balu,39743396.0,A. Bedoya,1409737692.0,Cara O'Brien,
633664376ffadc1396d86e476925121ac3d4cf86,https://www.semanticscholar.org/paper/633664376ffadc1396d86e476925121ac3d4cf86,Learning message-passing inference machines for structured prediction,"Nearly every structured prediction problem in computer vision requires approximate inference due to large and complex dependencies among output labels. While graphical models provide a clean separation between modeling and inference, learning these models with approximate inference is not well understood. Furthermore, even if a good model is learned, predictions are often inaccurate due to approximations. In this work, instead of performing inference over a graphical model, we instead consider the inference procedure as a composition of predictors. Specifically, we focus on message-passing algorithms, such as Belief Propagation, and show how they can be viewed as procedures that sequentially predict label distributions at each node over a graph. Given labeled graphs, we can then train the sequence of predictors to output the correct labeling s. The result no longer corresponds to a graphical model but simply defines an inference procedure, with strong theoretical properties, that can be used to classify new graphs. We demonstrate the scalability and efficacy of our approach on 3D point cloud classification and 3D surface estimation from single images.",2011,24,123,4,True,Computer Science,1700433,Stéphane Ross,51505748.0,Daniel Munoz,,,145670946.0,M. Hebert,1756566.0,J. Bagnell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333e831cf6faf640c3c4bf96c54f8dec14dfabc0,https://www.semanticscholar.org/paper/333e831cf6faf640c3c4bf96c54f8dec14dfabc0,Machine Learning: An artificial intelligence methodology,"The problem of learning and decision making is at the core level of argument in biological as well as artificial aspects. So scientist introduced Machine Learning as widely used concept in Artificial Intelligence. It is the concept which teaches machines to detect different patterns and to adapt to new circumstances. Machine Learning can be both experience and explanation based learning. In the field of robotics machine learning plays a vital role, it helps in taking an optimized decision for the machine which eventually increases the efficiency of the machine and more organized way of preforming a particular task. Now-a-days the concept of machine learning is used in many applications and is a core concept for intelligent systems which leads to the introduction innovative technology and more advance concepts of artificial thinking.",2013,9,31,3,False,Computer Science,71605859,Anish Talwar,143811809.0,Yogesh Kumar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26ecb50f4c2906a86d64909003d8e4fda9559a50,https://www.semanticscholar.org/paper/26ecb50f4c2906a86d64909003d8e4fda9559a50,Facing scalability issues in requirements prioritization with machine learning techniques,"Case-based driven approaches to requirements prioritization proved to be much more effective than first-principle methods in being tailored to a specific problem, that is they take advantage of the implicit knowledge that is available, given a problem representation. In these approaches, first-principle prioritization criteria are replaced by a pairwise preference elicitation process. Nevertheless case-based approaches, using the analytic hierarchy process (AHP) technique, become impractical when the size of the collection of requirements is greater than about twenty since the elicitation effort grows as the square of the number of requirements. We adopt a case-based framework for requirements prioritization, called case-based ranking, which exploits machine learning techniques to overcome the scalability problem. This method reduces the acquisition effort by combining human preference elicitation and automatic preference approximation. Our goal in this paper is to describe the framework in details and to present empirical evaluations which aim at showing its effectiveness in overcoming the scalability problem. The results prove that on average our approach outperforms AHP with respect to the trade-off between expert elicitation effort and the requirement prioritization accuracy.",2005,30,86,2,False,Computer Science,1744234,P. Avesani,2302761.0,C. Bazzanella,,,144124986.0,A. Perini,145030257.0,A. Susi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2ce99492e164adc03641c62df765e635b0968bca,https://www.semanticscholar.org/paper/2ce99492e164adc03641c62df765e635b0968bca,Personalized Explanation for Machine Learning: a Conceptualization,"Explanation in machine learning and related fields such as artificial intelligence aims at making machine learning models and their decisions understandable to humans. Existing work suggests that personalizing explanations might help to improve understandability. In this work, we derive a conceptualization of personalized explanation by defining and structuring the problem based on prior work on machine learning explanation, personalization (in machine learning) and concepts and techniques from other domains such as privacy and knowledge elicitation. We perform a categorization of explainee data used in the process of personalization as well as describing means to collect this data. We also identify three key explanation properties that are amendable to personalization: complexity, decision information and presentation. We also enhance existing work on explanation by introducing additional desiderata and measures to quantify the quality of personalized explanations.",2019,75,42,8,False,Computer Science,66695718,J. Schneider,9557173.0,J. Handali,Mathematics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2186650898f1ec8abaa26f0e4a17b4a5a6fee2f7,https://www.semanticscholar.org/paper/2186650898f1ec8abaa26f0e4a17b4a5a6fee2f7,ProQ3D: improved model quality assessments using deep learning,"Summary: Protein quality assessment is a long‐standing problem in bioinformatics. For more than a decade we have developed state‐of‐art predictors by carefully selecting and optimising inputs to a machine learning method. The correlation has increased from 0.60 in ProQ to 0.81 in ProQ2 and 0.85 in ProQ3 mainly by adding a large set of carefully tuned descriptions of a protein. Here, we show that a substantial improvement can be obtained using exactly the same inputs as in ProQ2 or ProQ3 but replacing the support vector machine by a deep neural network. This improves the Pearson correlation to 0.90 (0.85 using ProQ2 input features). Availability and Implementation: ProQ3D is freely available both as a webserver and a stand‐alone program at http://proq3.bioinfo.se/ Contact: arne@bioinfo.se Supplementary information: Supplementary data are available at Bioinformatics online.",2016,29,132,12,True,Computer Science,3396593,Karolis Uziela,29763957.0,D. Hurtado,Chemistry,Biology,38705724.0,N. Shu,40107817.0,B. Wallner,2471717.0,A. Elofsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medicine
fc6235219758edda59bd65afdd535b45b35c9f78,https://www.semanticscholar.org/paper/fc6235219758edda59bd65afdd535b45b35c9f78,Practical Machine Learning for Software Engineering and Knowledge Engineering,"Machine learning is practical for software engineering problems, even in datastarved domains. When data is scarce, knowledge can be farmed from seeds; i.e. minimal and partial descriptions of a domain. These seeds can be grown into large datasets via Monte Carlo simulations. The datasets can then be harvested using machine learning techniques. Examples of this knowledge farming approach, and the associated technique of data-mining, is given from numerous software engineering domains. Machine learning (ML) is not hard. Machine learners automatically generate summaries of data or existing systems in a smaller form. Software engineers can use machine learners to simplify systems development. This chapter explains how to use ML to assist in the construction of systems that support classification, prediction, diagnosis, planning, monitoring, requirements engineering, validation, and maintenance. This chapter approaches machine learning with three specific biases. First, we will explore machine learning in data-starved domains. Machine learning is typically proposed for domains that contain large datasets. Our experience strongly suggests that many domains lack such large datasets. This lack of data is particularly acute for newer, smaller software companies. Such companies lack the resources to collect and maintain such data. Also, they have not been developing products long enough to collect an appropriately large dataset. When we cannot mine data, we show how to farm knowledge by growing datasets from domain models. Second, we will only report mature machine learning methods; i.e. those methods which do not require highly specialized skills to execute. This second bias rules out some of the more exciting work on the leading edge of machine learning research (e.g. horn-clause learning). Third, in the author’s view, it has yet to be shown empirically from realistic examples that a particular learning technique is necessarily better than the others . When faced with arguably equivalent techniques, Occam’s razor suggests we use the simplest. We hence will explore simple decision tree learners in this chapter. Decision tree learners execute very quickly and are widely used: many of the practical SE applications of machine learning use decision tree learners like C4.5 [33] or the CART For evidence of this statement, see the comparisons of different learning methods in [34, 17, 36]",2000,15,37,1,False,Computer Science,1703872,T. Menzies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2e079604c7a00c43f06e214280cea18a89dcecef,https://www.semanticscholar.org/paper/2e079604c7a00c43f06e214280cea18a89dcecef,Bayesian Optimization and Semiparametric Models with Applications to Assistive Technology,"Bayesian Optimization and Semiparametric Models with Applications to Assistive Technology Jasper Snoek Doctor of Philosophy Graduate Department of Computer Science University of Toronto 2013 Advances in machine learning are having a profound impact on disciplines spanning the sciences. Assistive technology and health informatics are fields for which minor improvements achieved through leveraging more advanced machine learning algorithms can translate to major real world impact. However, successful application of machine learning currently requires broad domain knowledge to determine which model is appropriate for a given task, and model specific expertise to configure a model to a problem of interest. A major motivation for this thesis was: How can we make machine learning more accessible to assistive technology and health informatics researchers? Naturally, a complementary goal is to make machine learning more accessible in general. Specifically, in this thesis we explore how to automate the role of a machine learning expert through automatically adapting models and adjusting parameters to a given task of interest. This thesis consists of a number of contributions towards solving this challenging open problem in machine learning and these are empirically validated on four real-world applications. Through an interesting theoretical link between two seemingly disparate latent variable models, we create a hybrid model that allows one to flexibly interpolate over a parametric unsupervised neural network, a classification neural network and a non-parametric Gaussian process. We demonstrate empirically that this non-parametrically guided autoencoder allows one to learn a latent representation that is more useful for a given task of interest.",2014,158,45,7,False,Computer Science,144108062,Jasper Snoek,,,Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4fd072f8ea6ca2629a27f55719b0abc7174f655e,https://www.semanticscholar.org/paper/4fd072f8ea6ca2629a27f55719b0abc7174f655e,Machine Learning Topological Phases with a Solid-State Quantum Simulator.,"We report an experimental demonstration of a machine learning approach to identify exotic topological phases, with a focus on the three-dimensional chiral topological insulators. We show that the convolutional neural networks-a class of deep feed-forward artificial neural networks with widespread applications in machine learning-can be trained to successfully identify different topological phases protected by chiral symmetry from experimental raw data generated with a solid-state quantum simulator. Our results explicitly showcase the exceptional power of machine learning in the experimental detection of topological phases, which paves a way to study rich topological phenomena with the machine learning toolbox.",2019,48,36,0,True,Physics,145897010,Wenqian Lian,14506034.0,Sheng-Tao Wang,Medicine,Computer Science,32628182.0,Sirui Lu,2117990593.0,Yuanyuan Huang,2148956029.0,Feida Wang,3178320.0,Xinxing Yuan,2107990682.0,Wengang Zhang,47924156.0,Xiaolong Ouyang,2153689678.0,Xin Wang,46423138.0,Xianzhi Huang,2112581534.0,Li He,3557323.0,X. Chang,5204254.0,D. Deng,144794202.0,L. Duan,,,,,,,,,,,,,,,,,,,,,,,,,,,
