paperId,url,title,abstract,year,referenceCount,citationCount,influentialCitationCount,isOpenAccess,fieldsOfStudy/0,authors/0/authorId,authors/0/name,authors/1/authorId,authors/1/name,authors/2/authorId,authors/2/name,authors/3/authorId,authors/3/name,authors/4/authorId,authors/4/name,authors/5/authorId,authors/5/name,authors/6/authorId,authors/6/name,authors/7/authorId,authors/7/name,fieldsOfStudy/1,fieldsOfStudy/2,fieldsOfStudy/3,authors/8/authorId,authors/8/name,authors/9/authorId,authors/9/name,authors/10/authorId,authors/10/name,authors/11/authorId,authors/11/name
6a116fbf23a698e5547079a80ee1497b18b5a04c,https://www.semanticscholar.org/paper/6a116fbf23a698e5547079a80ee1497b18b5a04c,VizML: A Machine Learning Approach to Visualization Recommendation,"Visualization recommender systems aim to lower the barrier to exploring basic visualizations by automatically generating results for analysts to search and select, rather than manually specify. Here, we demonstrate a novel machine learning-based approach to visualization recommendation that learns visualization design choices from a large corpus of datasets and associated visualizations. First, we identify five key design choices made by analysts while creating visualizations, such as selecting a visualization type and choosing to encode a column along the X- or Y-axis. We train models to predict these design choices using one million dataset-visualization pairs collected from a popular online visualization platform. Neural networks predict these design choices with high accuracy compared to baseline models. We report and interpret feature importances from one of these baseline models. To evaluate the generalizability and uncertainty of our approach, we benchmark with a crowdsourced test set, and show that the performance of our model is comparable to human performance when predicting consensus visualization type, and exceeds that of other visualization recommender systems.",2018,79,111,22,True,Computer Science,7018573,K. Hu,50985185.0,Michiel A. Bakker,2109073168.0,Stephen Li,1746961.0,Tim Kraska,2132924.0,César A. Hidalgo,,,,,,,,,,,,,,,,,
93e348038aebdc6b4c728527635a06d72d261f4f,https://www.semanticscholar.org/paper/93e348038aebdc6b4c728527635a06d72d261f4f,ASD-DiagNet: A Hybrid Learning Approach for Detection of Autism Spectrum Disorder Using fMRI Data,"Heterogeneous mental disorders such as Autism Spectrum Disorder (ASD) are notoriously difficult to diagnose, especially in children. The current psychiatric diagnostic process is based purely on the behavioral observation of symptomology (DSM-5/ICD-10) and may be prone to misdiagnosis. In order to move the field toward more quantitative diagnosis, we need advanced and scalable machine learning infrastructure that will allow us to identify reliable biomarkers of mental health disorders. In this paper, we propose a framework called ASD-DiagNet for classifying subjects with ASD from healthy subjects by using only fMRI data. We designed and implemented a joint learning procedure using an autoencoder and a single layer perceptron (SLP) which results in improved quality of extracted features and optimized parameters for the model. Further, we designed and implemented a data augmentation strategy, based on linear interpolation on available feature vectors, that allows us to produce synthetic datasets needed for training of machine learning models. The proposed approach is evaluated on a public dataset provided by Autism Brain Imaging Data Exchange including 1, 035 subjects coming from 17 different brain imaging centers. Our machine learning model outperforms other state of the art methods from 10 imaging centers with increase in classification accuracy up to 28% with maximum accuracy of 82%. The machine learning technique presented in this paper, in addition to yielding better quality, gives enormous advantages in terms of execution time (40 min vs. 7 h on other methods). The implemented code is available as GPL license on GitHub portal of our lab (https://github.com/pcdslab/ASD-DiagNet).",2019,62,111,6,True,Computer Science,23131613,Taban Eslami,2067221484.0,Vahid Mirjalili,32250369.0,A. Fong,8075165.0,A. Laird,145052952.0,F. Saeed,,,,,,,Engineering,Mathematics,Medicine,,,,,,,,
e215b1b54f5a1682466a0e4034984dda61d3c6f8,https://www.semanticscholar.org/paper/e215b1b54f5a1682466a0e4034984dda61d3c6f8,Learning Theory for Distribution Regression,"We focus on the distribution regression problem: regressing to vector-valued outputs from probability measures. Many important machine learning and statistical tasks fit into this framework, including multi-instance learning and point estimation problems without analytical solution (such as hyperparameter or entropy estimation). Despite the large number of available heuristics in the literature, the inherent two-stage sampled nature of the problem makes the theoretical analysis quite challenging, since in practice only samples from sampled distributions are observable, and the estimates have to rely on similarities computed between sets of points. To the best of our knowledge, the only existing technique with consistency guarantees for distribution regression requires kernel density estimation as an intermediate step (which often performs poorly in practice), and the domain of the distributions to be compact Euclidean. In this paper, we study a simple, analytically computable, ridge regression-based alternative to distribution regression, where we embed the distributions to a reproducing kernel Hilbert space, and learn the regressor from the embeddings to the outputs. Our main contribution is to prove that this scheme is consistent in the two-stage sampled setup under mild conditions (on separable topological domains enriched with kernels): we present an exact computational-statistical efficiency trade-off analysis showing that our estimator is able to match the one-stage sampled minimax optimal rate [Caponnetto and De Vito, 2007; Steinwart et al., 2009]. This result answers a 17-year-old open question, establishing the consistency of the classical set kernel [Haussler, 1999; Gaertner et. al, 2002] in regression. We also cover consistency for more recent kernels on distributions, including those due to [Christmann and Steinwart, 2010].",2014,118,103,16,False,Mathematics,145675507,Z. Szabó,3313411.0,Bharath K. Sriperumbudur,1719347.0,B. Póczos,1708497.0,A. Gretton,,,,,,,,,Computer Science,,,,,,,,,,
2ec9681a021ffed564ac364def44e9fbcedacd48,https://www.semanticscholar.org/paper/2ec9681a021ffed564ac364def44e9fbcedacd48,Deep Learning-based Job Placement in Distributed Machine Learning Clusters,"Production machine learning (ML) clusters commonly host a variety of distributed ML workloads, e.g., speech recognition, machine translation. While server sharing among jobs improves resource utilization, interference among co-located ML jobs can lead to significant performance downgrade. Existing cluster schedulers (e.g., Mesos) are interference-oblivious in their job placement, causing suboptimal resource efficiency. Interference-aware job placement has been studied in the literature, but was treated using detailed workload profiling and interference modeling, which is not a general solution. This paper presents Harmony, a deep learning-driven ML cluster scheduler that places training jobs in a manner that minimizes interference and maximizes performance (i.e., training completion time). Harmony is based on a carefully designed deep reinforcement learning (DRL) framework augmented with reward modeling. The DRL employs state-of-the-art techniques to stabilize training and improve convergence, including actor-critic algorithm, job-aware action space exploration and experience replay. In view of a common lack of reward samples corresponding to different placement decisions, we build an auxiliary reward prediction model, which is trained using historical samples and used for producing reward for unseen placement. Experiments using real ML workloads in a Kubernetes cluster of 6 GPU servers show that Harmony outperforms representative schedulers by 25% in terms of average job completion time.",2019,35,58,5,False,Computer Science,3393850,Yixin Bao,9561490.0,Yanghua Peng,1726963.0,Chuan Wu,,,,,,,,,,,,,,,,,,,,,
f4cd6e606ad27eb91e3758d769029cb97c2285db,https://www.semanticscholar.org/paper/f4cd6e606ad27eb91e3758d769029cb97c2285db,A performance comparison of supervised machine learning models for Covid-19 tweets sentiment analysis,"The spread of Covid-19 has resulted in worldwide health concerns. Social media is increasingly used to share news and opinions about it. A realistic assessment of the situation is necessary to utilize resources optimally and appropriately. In this research, we perform Covid-19 tweets sentiment analysis using a supervised machine learning approach. Identification of Covid-19 sentiments from tweets would allow informed decisions for better handling the current pandemic situation. The used dataset is extracted from Twitter using IDs as provided by the IEEE data port. Tweets are extracted by an in-house built crawler that uses the Tweepy library. The dataset is cleaned using the preprocessing techniques and sentiments are extracted using the TextBlob library. The contribution of this work is the performance evaluation of various machine learning classifiers using our proposed feature set. This set is formed by concatenating the bag-of-words and the term frequency-inverse document frequency. Tweets are classified as positive, neutral, or negative. Performance of classifiers is evaluated on the accuracy, precision, recall, and F1 score. For completeness, further investigation is made on the dataset using the Long Short-Term Memory (LSTM) architecture of the deep learning model. The results show that Extra Trees Classifiers outperform all other models by achieving a 0.93 accuracy score using our proposed concatenated features set. The LSTM achieves low accuracy as compared to machine learning classifiers. To demonstrate the effectiveness of our proposed feature set, the results are compared with the Vader sentiment analysis technique based on the GloVe feature extraction approach.",2021,60,92,5,True,Medicine,1430656665,Furqan Rustam,47554565.0,M. Khalid,48001308.0,W. Aslam,1820791603.0,Vaibhav Rupapara,1403306506.0,A. Mehmood,32016133.0,G. Choi,,,,,,,,,,,,,,,
9a333461262d159023e8809e25f744101311bc8b,https://www.semanticscholar.org/paper/9a333461262d159023e8809e25f744101311bc8b,Automated Directed Fairness Testing,"Fairness is a critical trait in decision making. As machine-learning models are increasingly being used in sensitive application domains (e.g. education and employment) for decision making, it is crucial that the decisions computed by such models are free of unintended bias. But how can we automatically validate the fairness of arbitrary machine-learning models? For a given machine-learning model and a set of sensitive input parameters, our Aequitas approach automatically discovers discriminatory inputs that highlight fairness violation. At the core of Aequitas are three novel strategies to employ probabilistic search over the input space with the objective of uncovering fairness violation. Our Aequitas approach leverages inherent robustness property in common machine-learning models to design and implement scalable test generation methodologies. An appealing feature of our generated test inputs is that they can be systematically added to the training set of the underlying model and improve its fairness. To this end, we design a fully automated module that guarantees to improve the fairness of the model. We implemented Aequitas and we have evaluated it on six state-of-the-art classifiers. Our subjects also include a classifier that was designed with fairness in mind. We show that Aequitas effectively generates inputs to uncover fairness violation in all the subject classifiers and systematically improves the fairness of respective models using the generated test inputs. In our evaluation, Aequitas generates up to 70% discriminatory inputs (w.r.t. the total number of inputs generated) and leverages these inputs to improve the fairness up to 94%.",2018,19,94,20,True,Computer Science,9451906,Sakshi Udeshi,51126393.0,Pryanshu Arora,145213689.0,Sudipta Chattopadhyay,,,,,,,,,,,Mathematics,,,,,,,,,,
17e4ab48349fe0bd7ce119dbd63554f7244e92e8,https://www.semanticscholar.org/paper/17e4ab48349fe0bd7ce119dbd63554f7244e92e8,"Associative Engines: Connectionism, Concepts, and Representational Change","Part 1 Melting the inner code: computational models, syntax, and the folk solids connectionism, code, and context what networks know what networks don't know concept, category and prototype. Part 2 From code to process: the presence of a symbol the role of representational trajectories the cascade of significant virtual machines associative learning in a hostile world the fate of the folk associative engines - the next generation.",1993,123,322,18,False,Computer Science,37700983,A. Clark,,,,,,,,,,,,,,,,,,,,,,,,,
92e0cd6877ae7dc4997023f34476cd68fee9ef69,https://www.semanticscholar.org/paper/92e0cd6877ae7dc4997023f34476cd68fee9ef69,Scaling up Machine Learning,"This book comprises a collection of representative approaches for scaling up machine learning and data mining methods on parallel and distributed computing platforms. Demand for parallelizing learning algorithms is highly task-specific: in some settings it is driven by the enormous dataset sizes, in others by model complexity or by real-time performance requirements. Making task-appropriate algorithm and platform choices for large-scale machine learning requires understanding the benefits, trade-offs, and constraints of the available options. Solutions presented in the book cover a range of parallelization platforms from FPGAs and GPUs to multi-core systems and commodity clusters; concurrent programming frameworks that include CUDA, MPI, MapReduce, and DryadLINQ; and various learning settings: supervised, unsupervised, semi-supervised, and online learning. Extensive coverage of parallelization of boosted trees, support vector machines, spectral clustering, belief propagation, and other popular learning algorithms accompanied by deep dives into several applications make the book equally useful for researchers, students, and practitioners.",2011,0,35,0,False,Computer Science,1988453,R. Bekkerman,47695762.0,M. Bilenko,144162125.0,J. Langford,,,,,,,,,,,,,,,,,,,,,
2ed7baf3dc26de1f934c938e2a806c28eea445a7,https://www.semanticscholar.org/paper/2ed7baf3dc26de1f934c938e2a806c28eea445a7,Synaptic Plasticity Dynamics for Deep Continuous Local Learning (DECOLLE),"A growing body of work underlines striking similarities between biological neural networks and recurrent, binary neural networks. A relatively smaller body of work, however, addresses the similarities between learning dynamics employed in deep artificial neural networks and synaptic plasticity in spiking neural networks. The challenge preventing this is largely caused by the discrepancy between the dynamical properties of synaptic plasticity and the requirements for gradient backpropagation. Learning algorithms that approximate gradient backpropagation using local error functions can overcome this challenge. Here, we introduce Deep Continuous Local Learning (DECOLLE), a spiking neural network equipped with local error functions for online learning with no memory overhead for computing gradients. DECOLLE is capable of learning deep spatio temporal representations from spikes relying solely on local information, making it compatible with neurobiology and neuromorphic hardware. Synaptic plasticity rules are derived systematically from user-defined cost functions and neural dynamics by leveraging existing autodifferentiation methods of machine learning frameworks. We benchmark our approach on the event-based neuromorphic dataset N-MNIST and DvsGesture, on which DECOLLE performs comparably to the state-of-the-art. DECOLLE networks provide continuously learning machines that are relevant to biology and supportive of event-based, low-power computer vision architectures matching the accuracies of conventional computers on tasks where temporal precision and speed are essential.",2018,76,132,18,True,Computer Science,40647726,Jacques Kaiser,34516897.0,H. Mostafa,1734355.0,E. Neftci,,,,,,,,,,,Medicine,,,,,,,,,,
f86afc5f0b76d2b7a6147ac2b6c367eaa0d24c3b,https://www.semanticscholar.org/paper/f86afc5f0b76d2b7a6147ac2b6c367eaa0d24c3b,Machine learning for long-distance quantum communication,"Machine learning can help us in solving problems in the context big data analysis and classification, as well as in playing complex games such as Go. But can it also be used to find novel protocols and algorithms for applications such as large-scale quantum communication? Here we show that machine learning can be used to identify central quantum protocols, including teleportation, entanglement purification and the quantum repeater. These schemes are of importance in long-distance quantum communication, and their discovery has shaped the field of quantum information processing. However, the usefulness of learning agents goes beyond the mere re-production of known protocols; the same approach allows one to find improved solutions to long-distance communication problems, in particular when dealing with asymmetric situations where channel noise and segment distance are non-uniform. Our findings are based on the use of projective simulation, a model of a learning agent that combines reinforcement learning and decision making in a physically motivated framework. The learning agent is provided with a universal gate set, and the desired task is specified via a reward scheme. From a technical perspective, the learning agent has to deal with stochastic environments and reactions. We utilize an idea reminiscent of hierarchical skill acquisition, where solutions to sub-problems are learned and re-used in the overall scheme. This is of particular importance in the development of long-distance communication schemes, and opens the way for using machine learning in the design and implementation of quantum networks.",2019,69,48,2,True,Computer Science,67091356,J. Wallnöfer,47610941.0,A. Melnikov,2863386.0,W. Dür,32534184.0,H. Briegel,,,,,,,,,Physics,Mathematics,,,,,,,,,
8229fc91f497e40a9092d4544248491fe40203e7,https://www.semanticscholar.org/paper/8229fc91f497e40a9092d4544248491fe40203e7,Sparse Bayesian nonparametric regression,"One of the most common problems in machine learning and statistics consists of estimating the mean response <i>Xβ</i> from a vector of observations <i>y</i> assuming <i>y</i> = <i>Xβ</i> + <i>ε</i> where <i>X</i> is known, β is a vector of parameters of interest and <i>ε</i> a vector of stochastic errors. We are particularly interested here in the case where the dimension <i>K</i> of β is much higher than the dimension of <i>y</i>. We propose some flexible Bayesian models which can yield sparse estimates of β. We show that as <i>K</i> → ∞ these models are closely related to a class of Lévy processes. Simulations demonstrate that our models outperform significantly a range of popular alternatives.",2008,23,105,14,True,Mathematics,1774837,F. Caron,1701800.0,A. Doucet,,,,,,,,,,,,,Computer Science,,,,,,,,,,
7347d2128f18dc48e98953ba029c28f097c94f39,https://www.semanticscholar.org/paper/7347d2128f18dc48e98953ba029c28f097c94f39,A Method for Classification Using Machine Learning Technique for Diabetes,"Machine learning has been one of the standard and improving techniques with strong methods for classification and reorganization based on recursive learning. Machine learning allows to train and test classification system, with Artificial Intelligence. Machine learning has provided greatest support for predicting disease with correct case of training and testing. Diabetes needs greatest support of machine learning to detect diabetes disease in early stage, since it cannot be cured and also brings great complication to our health system. One of the promising techniques in machine learning is Support Vector Machine (SVM). SVM is used for classification of system. Upshot of SVM has provided with classification of system.",2013,17,33,0,False,Computer Science,3078075,N. Jaisankar,,,,,,,,,,,,,,,,,,,,,,,,,
89dbfb9b75d3902748d73bfb5965e7d11e83c10e,https://www.semanticscholar.org/paper/89dbfb9b75d3902748d73bfb5965e7d11e83c10e,Learning Discriminative Appearance-Based Models Using Partial Least Squares,"Appearance information is essential for applications such as tracking and people recognition. One of the main problems of using appearance-based discriminative models is the ambiguities among classes when the number of persons being considered increases. To reduce the amount of ambiguity, we propose the use of a rich set of feature descriptors based on color, textures and edges. Another issue regarding appearance modeling is the limited number of training samples available for each appearance. The discriminative models are created using a powerful statistical tool called Partial Least Squares (PLS), responsible for weighting the features according to their discriminative power for each different appearance. The experimental results, based on appearance-based person recognition, demonstrate that the use of an enriched feature set analyzed by PLS reduces the ambiguity among different appearances and provides higher recognition rates when compared to other machine learning techniques.",2009,22,374,49,True,Computer Science,9385043,W. R. Schwartz,1693428.0,L. Davis,,,,,,,,,,,,,,,,,,,,,,,
0858fb6efb0e7ef549db94813b9d6f896073d60a,https://www.semanticscholar.org/paper/0858fb6efb0e7ef549db94813b9d6f896073d60a,Bayesian Reinforcement Learning: A Survey,"Bayesian methods for machine learning have been widely investigated, yielding principled methods for incorporating prior information into inference algorithms. In this survey, we provide an in-depth review of the role of Bayesian methods for the reinforcement learning (RL) paradigm. The major incentives for incorporating Bayesian reasoning in RL are: 1) it provides an elegant approach to action-selection (exploration/exploitation) as a function of the uncertainty in learning; and 2) it provides a machinery to incorporate prior knowledge into the algorithms. We first discuss models and methods for Bayesian inference in the simple single-step Bandit model. We then review the extensive recent literature on Bayesian methods for model-based RL, where prior information can be expressed on the parameters of the Markov model. We also present Bayesian methods for model-free RL, where priors are expressed over the value function or policy class. The objective of the paper is to provide a comprehensive survey on Bayesian RL algorithms and their theoretical and empirical properties.",2015,184,311,26,True,Computer Science,1678622,M. Ghavamzadeh,1712535.0,Shie Mannor,145134886.0,Joelle Pineau,3025260.0,Aviv Tamar,,,,,,,,,Mathematics,,,,,,,,,,
3983793116c441dc541866ce98da433113d0dca7,https://www.semanticscholar.org/paper/3983793116c441dc541866ce98da433113d0dca7,KNOWLEDGE BASED ANALYSIS OF VARIOUS STATISTICAL TOOLS IN DETECTING BREAST CANCER,"In this paper, we study the performance criterion of machine learning tools in classifying breast cancer. We compare the data mining tools such as Naïve Bayes, Support vector machines, Radial basis neural networks, Decision trees J48 and simple CART. We used both binary and multi class data sets namely WBC, WDBC and Breast tissue from UCI machine learning depositary. The experiments are conducted in WEKA. The aim of this research is to find out the best classifier with respect to accuracy, precision, sensitivity and specificity in detecting breast cancer.",2011,29,80,4,False,,2054537621,S. Rajagopalan,2681542.0,L. V. Nandakishore,,,,,,,,,,,,,,,,,,,,,,,
