paperId,url,title,abstract,year,referenceCount,citationCount,influentialCitationCount,isOpenAccess,fieldsOfStudy/0,authors/0/authorId,authors/0/name,authors/1/authorId,authors/1/name,fieldsOfStudy/1,authors/2/authorId,authors/2/name,fieldsOfStudy/2,authors/3/authorId,authors/3/name,authors/4/authorId,authors/4/name,authors/5/authorId,authors/5/name,authors/6/authorId,authors/6/name,authors/7/authorId,authors/7/name,authors/8/authorId,authors/8/name,authors/9/authorId,authors/9/name,authors/10/authorId,authors/10/name,authors/11/authorId,authors/11/name,authors/12/authorId,authors/12/name,authors/13/authorId,authors/13/name,authors/14/authorId,authors/14/name,authors/15/authorId,authors/15/name,authors/16/authorId,authors/16/name
4417dfcfc722b8b31278a0ebcc1595963dab5a1c,https://www.semanticscholar.org/paper/4417dfcfc722b8b31278a0ebcc1595963dab5a1c,Malware Detection by Eating a Whole EXE,"In this work we introduce malware detection from raw byte sequences as a fruitful research area to the larger machine learning community. Building a neural network for such a problem presents a number of interesting challenges that have not occurred in tasks such as image processing or NLP. In particular, we note that detection from raw bytes presents a sequence problem with over two million time steps and a problem where batch normalization appear to hinder the learning process. We present our initial work in building a solution to tackle this problem, which has linear complexity dependence on the sequence length, and allows for interpretable sub-regions of the binary to be identified. In doing so we will discuss the many challenges in building a neural network to process data at this scale, and the methods we used to work around them.",2017,62,324,69,false,Mathematics,34885007,Edward Raff,2055570627,Jon Barker,Computer Science,40214038,J. Sylvester,,144286150,Robert Brandon,2301680,Bryan Catanzaro,144440349,Charles K. Nicholas,,,,,,,,,,,,,,,,,,,,,,
6b66dadf4b948a189a4e4f7c3dc2f207989684bb,https://www.semanticscholar.org/paper/6b66dadf4b948a189a4e4f7c3dc2f207989684bb,A novel hybrid extreme learning machine–grey wolf optimizer (ELM-GWO) model to predict compressive strength of concrete with partial replacements for cement,,2020,91,117,0,false,Computer Science,47206430,M. Shariati,1482591004,M. S. Mafipour,,1659037337,Behzad Ghahremani,,1753412905,Fazel Azarhomayun,34667313,M. Ahmadi,103864619,N. Trung,4649424,A. Shariati,,,,,,,,,,,,,,,,,,,,
c57012ca87d6656c37921fde5107ee5b50a22ed2,https://www.semanticscholar.org/paper/c57012ca87d6656c37921fde5107ee5b50a22ed2,Genome-Scale Identification of Legionella pneumophila Effectors Using a Machine Learning Approach,"A large number of highly pathogenic bacteria utilize secretion systems to translocate effector proteins into host cells. Using these effectors, the bacteria subvert host cell processes during infection. Legionella pneumophila translocates effectors via the Icm/Dot type-IV secretion system and to date, approximately 100 effectors have been identified by various experimental and computational techniques. Effector identification is a critical first step towards the understanding of the pathogenesis system in L. pneumophila as well as in other bacterial pathogens. Here, we formulate the task of effector identification as a classification problem: each L. pneumophila open reading frame (ORF) was classified as either effector or not. We computationally defined a set of features that best distinguish effectors from non-effectors. These features cover a wide range of characteristics including taxonomical dispersion, regulatory data, genomic organization, similarity to eukaryotic proteomes and more. Machine learning algorithms utilizing these features were then applied to classify all the ORFs within the L. pneumophila genome. Using this approach we were able to predict and experimentally validate 40 new effectors, reaching a success rate of above 90%. Increasing the number of validated effectors to around 140, we were able to gain novel insights into their characteristics. Effectors were found to have low G+C content, supporting the hypothesis that a large number of effectors originate via horizontal gene transfer, probably from their protozoan host. In addition, effectors were found to cluster in specific genomic regions. Finally, we were able to provide a novel description of the C-terminal translocation signal required for effector translocation by the Icm/Dot secretion system. To conclude, we have discovered 40 novel L. pneumophila effectors, predicted over a hundred additional highly probable effectors, and shown the applicability of machine learning algorithms for the identification and characterization of bacterial pathogenesis determinants.",2009,52,224,15,true,Biology,48688893,D. Burstein,6866451,T. Zusman,Medicine,4507464,E. Degtyar,,122381632,R. Viner,144093763,G. Segal,1963380,T. Pupko,,,,,,,,,,,,,,,,,,,,,,
0352ab40731384f97a7211757981a1fb20a6abd5,https://www.semanticscholar.org/paper/0352ab40731384f97a7211757981a1fb20a6abd5,A rigorous and robust quantum speed-up in supervised machine learning,,2020,49,150,11,true,Physics,49420839,Yunchao Liu,145480730,Srinivasan Arunachalam,Computer Science,1882551,K. Temme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1e880d86d3e96d812c0a6c3677149ba01e57c9b1,https://www.semanticscholar.org/paper/1e880d86d3e96d812c0a6c3677149ba01e57c9b1,Personality Parameters and Programs,,1997,21,129,7,false,Psychology,153481024,D. Moffat,,,Computer Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6d3d683fd32e5a69bb27c041af8819af9db2c0b7,https://www.semanticscholar.org/paper/6d3d683fd32e5a69bb27c041af8819af9db2c0b7,On Transductive Support Vector Machines,"Transductive support vector machines (TSVM) has been widely used as a means of treating partially labeled data in semisupervised learning. Around it, there has been mystery because of lack of understanding its foundation in generalization. This article aims to clarify several controversial aspects regarding TSVM. Two main results are established. First, TSVM performs no worse than its supervised counterpart SVM when tuning is performed, which is contrary to several studies indicating otherwise. The “alleged” inferior performance of TSVM is mainly because it was not tuned in the process, in addition to the involved minimization routines. Second, we utilize difference convex programming to derive a nonconvex minimization routine for TSVM, which compares favorably against some state-of-the-art methods. This, together with our learning theory lands some support to TSVM.",2006,25,77,5,true,Computer Science,46585202,Junhui Wang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188f8f6f70947215a9dfeebb0b577155e0d3d339,https://www.semanticscholar.org/paper/188f8f6f70947215a9dfeebb0b577155e0d3d339,1399 H&E-stained sentinel lymph node sections of breast cancer patients: the CAMELYON dataset,"Abstract Background The presence of lymph node metastases is one of the most important factors in breast cancer prognosis. The most common way to assess regional lymph node status is the sentinel lymph node procedure. The sentinel lymph node is the most likely lymph node to contain metastasized cancer cells and is excised, histopathologically processed, and examined by a pathologist. This tedious examination process is time-consuming and can lead to small metastases being missed. However, recent advances in whole-slide imaging and machine learning have opened an avenue for analysis of digitized lymph node sections with computer algorithms. For example, convolutional neural networks, a type of machine-learning algorithm, can be used to automatically detect cancer metastases in lymph nodes with high accuracy. To train machine-learning models, large, well-curated datasets are needed. Results We released a dataset of 1,399 annotated whole-slide images (WSIs) of lymph nodes, both with and without metastases, in 3 terabytes of data in the context of the CAMELYON16 and CAMELYON17 Grand Challenges. Slides were collected from five medical centers to cover a broad range of image appearance and staining variations. Each WSI has a slide-level label indicating whether it contains no metastases, macro-metastases, micro-metastases, or isolated tumor cells. Furthermore, for 209 WSIs, detailed hand-drawn contours for all metastases are provided. Last, open-source software tools to visualize and interact with the data have been made available. Conclusions A unique dataset of annotated, whole-slide digital histopathology images has been provided with high potential for re-use.",2018,31,191,3,true,Medicine,145959882,G. Litjens,47520063,Péter Bándi,,2140338217,Babak Ehteshami Bejnordi,,9560760,Oscar G. F. Geessink,145382775,M. Balkenhol,2708651,P. Bult,5215048,A. Halilovic,37793573,M. Hermsen,2140392017,Rob van de Loo,40550331,R. Vogels,7219708,Quirine F Manson,6897402,N. Stathonikos,9544490,A. Baidoshvili,2140337812,Paul van Diest,3911099,C. Wauters,2140392015,Marcory van Dijk,2140391814,Jeroen van der Laak
6ccdad0e836e1b726106c4367be603a202923963,https://www.semanticscholar.org/paper/6ccdad0e836e1b726106c4367be603a202923963,Learning and Reasoning in Cognitive Radio Networks,"Cognitive radio networks challenge the traditional wireless networking paradigm by introducing concepts firmly stemmed into the Artificial Intelligence (AI) field, i.e., learning and reasoning. This fosters optimal resource usage and management allowing a plethora of potential applications such as secondary spectrum access, cognitive wireless backbones, cognitive machine-to-machine etc. The majority of overview works in the field of cognitive radio networks deal with the notions of observation and adaptations, which are not a distinguished cognitive radio networking aspect. Therefore, this paper provides insight into the mechanisms for obtaining and inferring knowledge that clearly set apart the cognitive radio networks from other wireless solutions.",2013,71,94,8,true,Computer Science,145365339,L. Gavrilovska,1772451,V. Atanasovski,,2129842,I. Macaluso,,1690016,L. Dasilva,,,,,,,,,,,,,,,,,,,,,,,,,,
82f7073b503143cf3ed4d59dca2f206ba18a31b9,https://www.semanticscholar.org/paper/82f7073b503143cf3ed4d59dca2f206ba18a31b9,Optimizing Federated Learning on Non-IID Data with Reinforcement Learning,"The widespread deployment of machine learning applications in ubiquitous environments has sparked interests in exploiting the vast amount of data stored on mobile devices. To preserve data privacy, Federated Learning has been proposed to learn a shared model by performing distributed training locally on participating devices and aggregating the local models into a global one. However, due to the limited network connectivity of mobile devices, it is not practical for federated learning to perform model updates and aggregation on all participating devices in parallel. Besides, data samples across all devices are usually not independent and identically distributed (IID), posing additional challenges to the convergence and speed of federated learning. In this paper, we propose Favor, an experience-driven control framework that intelligently chooses the client devices to participate in each round of federated learning to counterbalance the bias introduced by non-IID data and to speed up convergence. Through both empirical and mathematical analysis, we observe an implicit connection between the distribution of training data on a device and the model weights trained based on those data, which enables us to profile the data distribution on that device based on its uploaded model weights. We then propose a mechanism based on deep Q-learning that learns to select a subset of devices in each communication round to maximize a reward that encourages the increase of validation accuracy and penalizes the use of more communication rounds. With extensive experiments performed in PyTorch, we show that the number of communication rounds required in federated learning can be reduced by up to 49% on the MNIST dataset, 23% on FashionMNIST, and 42% on CIFAR-10, as compared to the Federated Averaging algorithm.",2020,18,236,27,false,Computer Science,39483391,Hao Wang,2005216177,Zakhary Kaplan,,1714907,Di Niu,,91269142,Baochun Li,,,,,,,,,,,,,,,,,,,,,,,,,,
364f02eff4f10ea602d86fd8c98c8694b76f46fd,https://www.semanticscholar.org/paper/364f02eff4f10ea602d86fd8c98c8694b76f46fd,Problems with Shapley-value-based explanations as feature importance measures,"Game-theoretic formulations of feature importance have become popular as a way to ""explain"" machine learning models. These methods define a cooperative game between the features of a model and distribute influence among these input elements using some form of the game's unique Shapley values. Justification for these methods rests on two pillars: their desirable mathematical properties, and their applicability to specific motivations for explanations. We show that mathematical problems arise when Shapley values are used for feature importance and that the solutions to mitigate these necessarily induce further complexity, such as the need for causal reasoning. We also draw on additional literature to argue that Shapley values do not provide explanations which suit human-centric goals of explainability.",2020,32,156,9,false,Computer Science,102411992,Indra Elizabeth Kumar,72563021,S. Venkatasubramanian,Mathematics,1786183,C. Scheidegger,,34597147,Sorelle A. Friedler,,,,,,,,,,,,,,,,,,,,,,,,,,
df7ed39d3f1fd0ffd695f53345e4fbff832df157,https://www.semanticscholar.org/paper/df7ed39d3f1fd0ffd695f53345e4fbff832df157,On Model Parallelization and Scheduling Strategies for Distributed Machine Learning,"Distributed machine learning has typically been approached from a data parallel perspective, where big data are partitioned to multiple workers and an algorithm is executed concurrently over different data subsets under various synchronization schemes to ensure speed-up and/or correctness. A sibling problem that has received relatively less attention is how to ensure efficient and correct model parallel execution of ML algorithms, where parameters of an ML program are partitioned to different workers and undergone concurrent iterative updates. We argue that model and data parallelisms impose rather different challenges for system design, algorithmic adjustment, and theoretical analysis. In this paper, we develop a system for model-parallelism, STRADS, that provides a programming abstraction for scheduling parameter updates by discovering and leveraging changing structural properties of ML programs. STRADS enables a flexible tradeoff between scheduling efficiency and fidelity to intrinsic dependencies within the models, and improves memory efficiency of distributed ML. We demonstrate the efficacy of model-parallel algorithms implemented on STRADS versus popular implementations for topic modeling, matrix factorization, and Lasso.",2014,31,99,7,false,Computer Science,1739906504,Seunghak Lee,2152674455,Jin Kyu Kim,,2496226,Xun Zheng,,1707357,Qirong Ho,30367882,Garth A. Gibson,143977260,E. Xing,,,,,,,,,,,,,,,,,,,,,,
d970c9a3ff84c1aa3d14b6e4a516236016c534fc,https://www.semanticscholar.org/paper/d970c9a3ff84c1aa3d14b6e4a516236016c534fc,TAPAS: Tricks to Accelerate (encrypted) Prediction As a Service,"Machine learning methods are widely used for a variety of prediction problems. \emph{Prediction as a service} is a paradigm in which service providers with technological expertise and computational resources may perform predictions for clients. However, data privacy severely restricts the applicability of such services, unless measures to keep client data private (even from the service provider) are designed. Equally important is to minimize the amount of computation and communication required between client and server. Fully homomorphic encryption offers a possible way out, whereby clients may encrypt their data, and on which the server may perform arithmetic computations. The main drawback of using fully homomorphic encryption is the amount of time required to evaluate large machine learning models on encrypted data. We combine ideas from the machine learning literature, particularly work on binarization and sparsification of neural networks, together with algorithmic tools to speed-up and parallelize computation using encrypted data.",2018,41,76,8,false,Computer Science,3494481,Amartya Sanyal,1940272,Matt J. Kusner,Mathematics,145511365,Adrià Gascón,,2080218,Varun Kanade,,,,,,,,,,,,,,,,,,,,,,,,,,
e3354a4158d16d1848abd579ddc9e85d52e7b51c,https://www.semanticscholar.org/paper/e3354a4158d16d1848abd579ddc9e85d52e7b51c,"Toward robust early-warning models: a horse race, ensembles and model uncertainty","This paper presents first steps towards robust models for crisis prediction. We conduct a horse race of conventional statistical methods and more recent machine learning methods as early-warning models. As individual models are in the literature most often built in isolation of other methods, the exercise is of high relevance for assessing the relative performance of a wide variety of methods. Further, we test various ensemble approaches to aggregating the information products of the built models, providing more robust basis for measuring country-level vulnerabilities. Finally, we provide approaches to estimating model uncertainty in early-warning exercises, particularly model performance uncertainty and model output uncertainty. The approaches put forward in this paper are shown with Europe as a playground. Generally, our results show that the conventional statistical approaches are outperformed by more advanced machine learning methods, such as k-nearest neighbours and neural networks, and particularly by model aggregation approaches through ensemble learning.",2015,104,103,9,true,Computer Science,1932271,M. Holopainen,2124158,Peter Sarlin,Economics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6eee3af43d42d1d4c319aa024334420967f39ab7,https://www.semanticscholar.org/paper/6eee3af43d42d1d4c319aa024334420967f39ab7,A novel ensemble machine learning for robust microarray data classification,,2006,37,122,5,false,Computer Science,2648838,Yonghong Peng,,,Medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11cc9604f09c9bac06c84ec1fe87c25c3b40a570,https://www.semanticscholar.org/paper/11cc9604f09c9bac06c84ec1fe87c25c3b40a570,Fiber tractography using machine learning,"We present a fiber tractography approach based on a random forest classification and voting process, guiding each step of the streamline progression by directly processing raw diffusion-weighted signal intensities. For comparison to the state-of-the-art, i.e. tractography pipelines that rely on mathematical modeling, we performed a quantitative and qualitative evaluation with multiple phantom and in vivo experiments, including a comparison to the 96 submissions of the ISMRM tractography challenge 2015. The results demonstrate the vast potential of machine learning for fiber tractography.",2017,72,40,1,true,Biology,2388315,P. Neher,40638665,Marc-Alexandre Côté,Computer Science,37525982,Jean-Christophe Houde,Medicine,1788574,M. Descoteaux,1397951928,Klaus Maier-Hein,,,,,,,,,,,,,,,,,,,,,,,,
9634443486c76c82b1ed44f2f1aa8e2a423bb9a3,https://www.semanticscholar.org/paper/9634443486c76c82b1ed44f2f1aa8e2a423bb9a3,Driver drowsiness detection using behavioral measures and machine learning techniques: A review of state-of-art techniques,"This paper presents a literature review of driver drowsiness detection based on behavioral measures using machine learning techniques. Faces contain information that can be used to interpret levels of drowsiness. There are many facial features that can be extracted from the face to infer the level of drowsiness. These include eye blinks, head movements and yawning. However, the development of a drowsiness detection system that yields reliable and accurate results is a challenging task as it requires accurate and robust algorithms. A wide range of techniques has been examined to detect driver drowsiness in the past. The recent rise of deep learning requires that these algorithms be revisited to evaluate their accuracy in detection of drowsiness. As a result, this paper reviews machine learning techniques which include support vector machines, convolutional neural networks and hidden Markov models in the context of drowsiness detection. Furthermore, a meta-analysis is conducted on 25 papers that use machine learning techniques for drowsiness detection. The analysis reveals that support vector machine technique is the most commonly used technique to detect drowsiness, but convolutional neural networks performed better than the other two techniques. Finally, this paper lists publicly available datasets that can be used as benchmarks for drowsiness detection.",2017,54,59,2,false,Computer Science,32559888,Mkhuseli Ngxande,3165624,J. Tapamo,,145841847,Michael Burke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
