paperId,url,title,abstract,year,referenceCount,citationCount,influentialCitationCount,isOpenAccess,fieldsOfStudy/0,fieldsOfStudy/1,authors/0/authorId,authors/0/name,authors/1/authorId,authors/1/name,authors/2/authorId,authors/2/name,authors/3/authorId,authors/3/name,authors/4/authorId,authors/4/name,authors/5/authorId,authors/5/name,authors/6/authorId,authors/6/name,authors/7/authorId,authors/7/name,authors/8/authorId,authors/8/name,authors/9/authorId,authors/9/name,authors/10/authorId,authors/10/name,authors/11/authorId,authors/11/name,authors/12/authorId,authors/12/name,authors/13/authorId,authors/13/name,authors/14/authorId,authors/14/name,authors/15/authorId,authors/15/name,authors/16/authorId,authors/16/name,authors/17/authorId,authors/17/name,authors/18/authorId,authors/18/name,authors/19/authorId,authors/19/name,authors/20/authorId,authors/20/name,authors/21/authorId,authors/21/name,authors/22/authorId,authors/22/name,authors/23/authorId,authors/23/name,authors/24/authorId,authors/24/name,fieldsOfStudy/2
56e88615d5c26a8261d1f14b5af769b973efb93b,https://www.semanticscholar.org/paper/56e88615d5c26a8261d1f14b5af769b973efb93b,Using habituation in machine learning,,2009,34,30,1,false,Psychology,Medicine,2112255,S. Marsland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
771479c18b586eafae21baf262a220aaa7b2eef6,https://www.semanticscholar.org/paper/771479c18b586eafae21baf262a220aaa7b2eef6,Learning Rotation-Invariant Convolutional Neural Networks for Object Detection in VHR Optical Remote Sensing Images,"Object detection in very high resolution optical remote sensing images is a fundamental problem faced for remote sensing image analysis. Due to the advances of powerful feature representations, machine-learning-based object detection is receiving increasing attention. Although numerous feature representations exist, most of them are handcrafted or shallow-learning-based features. As the object detection task becomes more challenging, their description capability becomes limited or even impoverished. More recently, deep learning algorithms, especially convolutional neural networks (CNNs), have shown their much stronger feature representation power in computer vision. Despite the progress made in nature scene images, it is problematic to directly use the CNN feature for object detection in optical remote sensing images because it is difficult to effectively deal with the problem of object rotation variations. To address this problem, this paper proposes a novel and effective approach to learn a rotation-invariant CNN (RICNN) model for advancing the performance of object detection, which is achieved by introducing and learning a new rotation-invariant layer on the basis of the existing CNN architectures. However, different from the training of traditional CNN models that only optimizes the multinomial logistic regression objective, our RICNN model is trained by optimizing a new objective function via imposing a regularization constraint, which explicitly enforces the feature representations of the training samples before and after rotating to be mapped close to each other, hence achieving rotation invariance. To facilitate training, we first train the rotation-invariant layer and then domain-specifically fine-tune the whole RICNN network to further boost the performance. Comprehensive evaluations on a publicly available ten-class object detection data set demonstrate the effectiveness of the proposed method.",2016,51,1085,91,false,Computer Science,,2152127024,Gong Cheng,2895041,P. Zhou,7181955,Junwei Han,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ceb2386daea9d831e89ea0328bb6b89054c26dea,https://www.semanticscholar.org/paper/ceb2386daea9d831e89ea0328bb6b89054c26dea,Machine Learning Configuration Interaction.,"We propose the concept of machine learning configuration interaction (MLCI) whereby an artificial neural network is trained on-the-fly to predict important new configurations in an iterative selected configuration interaction procedure. We demonstrate that the neural network can discriminate between important and unimportant configurations, that it has not been trained on, much better than by chance. MLCI is then used to find compact wave functions for carbon monoxide at both stretched and equilibrium geometries. We also consider the multireference problem of the water molecule with elongated bonds. Results are contrasted with those from other ways of selecting configurations: first-order perturbation, random selection, and Monte Carlo configuration interaction. Compared with these other serial calculations, this prototype MLCI is competitive in its accuracy, converges in significantly fewer iterations than the stochastic approaches, and requires less time for the higher-accuracy computations.",2018,52,44,1,true,Computer Science,Medicine,33524193,J. P. Coe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Physics
2b4f69447df8ee8f44e53ba254734bfd570c7450,https://www.semanticscholar.org/paper/2b4f69447df8ee8f44e53ba254734bfd570c7450,Machine Learning Prediction of Cancer Cell Sensitivity to Drugs Based on Genomic and Chemical Properties,"Predicting the response of a specific cancer to a therapy is a major goal in modern oncology that should ultimately lead to a personalised treatment. High-throughput screenings of potentially active compounds against a panel of genomically heterogeneous cancer cell lines have unveiled multiple relationships between genomic alterations and drug responses. Various computational approaches have been proposed to predict sensitivity based on genomic features, while others have used the chemical properties of the drugs to ascertain their effect. In an effort to integrate these complementary approaches, we developed machine learning models to predict the response of cancer cell lines to drug treatment, quantified through IC50 values, based on both the genomic features of the cell lines and the chemical properties of the considered drugs. Models predicted IC50 values in a 8-fold cross-validation and an independent blind test with coefficient of determination R2 of 0.72 and 0.64 respectively. Furthermore, models were able to predict with comparable accuracy (R2 of 0.61) IC50s of cell lines from a tissue not used in the training stage. Our in silico models can be used to optimise the experimental design of drug-cell screenings by estimating a large proportion of missing IC50 values rather than experimentally measuring them. The implications of our results go beyond virtual drug screening design: potentially thousands of drugs could be probed in silico to systematically test their potential efficacy as anti-tumour agents based on their structure, thus providing a computational framework to identify new drug repositioning opportunities as well as ultimately be useful for personalized medicine by linking the genomic traits of patients to drug sensitivity.",2012,46,361,10,true,Computer Science,Biology,143817725,M. Menden,1841722,Francesco Iorio,145959971,M. Garnett,2321694,U. McDermott,1714039,C. Benes,9998035,P. Ballester,1389786323,J. Sáez-Rodríguez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medicine
22588ac839cd1a8d0c1021b2a5172dc531f13416,https://www.semanticscholar.org/paper/22588ac839cd1a8d0c1021b2a5172dc531f13416,Artificial Intelligence for Games,"AI and Games Introduction What Is AI? Model of Game AI Algorithms, Data Structures, and Representations On the Website Layout of the Book Game AI The Complexity Fallacy The Kind of AI in Games Speed and Memory The AI Engine Techniques Movement The Basics of Movement Algorithms Kinematic Movement Algorithms Steering Behaviors Combining Steering Behaviors Predicting Physics Jumping Coordinated Movement Motor Control Movement in the Third Dimension Pathfinding The Pathfinding Graph Dijkstra A* World Representations Improving on A* Hierarchical Pathfinding Other Ideas in Pathfinding Continuous Time Pathfinding Movement Planning Decision Making Overview of Decision Making Decision Trees State Machines Behavior Trees Fuzzy Logic Markov Systems Goal-Oriented Behavior Rule-Based Systems Blackboard Architectures Scripting Action Execution Tactical and Strategic AI Waypoint Tactics Tactical Analyses Tactical Pathfinding Coordinated Action Learning Learning Basics Parameter Modification Action Prediction Decision Learning Naive Bayes Classifiers Decision Tree Learning Reinforcement Learning Artificial Neural Networks Board Games Game Theory Minimaxing Transposition Tables and Memory Memory-Enhanced Test Algorithms Opening Books and Other Set Plays Further Optimizations Turn-Based Strategy Games Supporting Technologies Execution Management Scheduling Anytime Algorithms Level of Detail World Interfacing Communication Getting Knowledge Efficiently Event Managers Polling Stations Sense Management Tools and Content Creation Knowledge for Pathfinding and Waypoint Tactics Knowledge for Movement Knowledge for Decision Making The Toolchain Designing Game AI Designing Game AI The Design Shooters Driving Real-Time Strategy Sports Turn-Based Strategy Games AI-Based Game Genres Teaching Characters Flocking and Herding Games Appendix Books, Periodicals, and Papers Games",2006,73,504,43,false,Computer Science,,2909681,I. Millington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e7b677c6a4595514f41f317484150793b5f75a89,https://www.semanticscholar.org/paper/e7b677c6a4595514f41f317484150793b5f75a89,Archetypal analysis for machine learning and data mining,,2012,28,167,30,false,Mathematics,Computer Science,3416561,M. Mørup,145579972,L. K. Hansen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
796e801efefdd87f4484ee74a1f7240fab80fb1e,https://www.semanticscholar.org/paper/796e801efefdd87f4484ee74a1f7240fab80fb1e,Machine Learning for Hardware Security: Opportunities and Risks,,2018,90,38,3,false,Computer Science,,9297383,Rana Elnaggar,143631962,K. Chakrabarty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247b527f0a071eed4e5c43dda90b52fb01cd3eef,https://www.semanticscholar.org/paper/247b527f0a071eed4e5c43dda90b52fb01cd3eef,A review of multi-instance learning assumptions,"Abstract Multi-instance (MI) learning is a variant of inductive machine learning, where each learning example contains a bag of instances instead of a single feature vector. The term commonly refers to the supervised setting, where each bag is associated with a label. This type of representation is a natural fit for a number of real-world learning scenarios, including drug activity prediction and image classification, hence many MI learning algorithms have been proposed. Any MI learning method must relate instances to bag-level class labels, but many types of relationships between instances and class labels are possible. Although all early work in MI learning assumes a specific MI concept class known to be appropriate for a drug activity prediction domain; this ‘standard MI assumption’ is not guaranteed to hold in other domains. Much of the recent work in MI learning has concentrated on a relaxed view of the MI problem, where the standard MI assumption is dropped, and alternative assumptions are considered instead. However, often it is not clearly stated what particular assumption is used and how it relates to other assumptions that have been proposed. In this paper, we aim to clarify the use of alternative MI assumptions by reviewing the work done in this area.",2010,58,315,33,true,Computer Science,,40289577,James R. Foulds,143713826,Eibe Frank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2dae631935d29f75bab8ca122d324b93574b28de,https://www.semanticscholar.org/paper/2dae631935d29f75bab8ca122d324b93574b28de,Geophysical inversion versus machine learning in inverse problems,"Geophysical inversion and machine learning both provide solutions for inverse problems in which we estimate model parameters from observations. Geophysical inversions such as impedance inversion, amplitude-variation-with-offset inversion, and traveltime tomography are commonly used in the industry to yield physical properties from measured seismic data. Machine learning, a data-driven approach, has become popular during the past decades and is useful for solving such inverse problems. An advantage of machine learning methods is that they can be implemented without knowledge of physical equations or theories. The challenges of machine learning lie in acquiring enough training data and selecting relevant parameters, which are essential in obtaining a good quality model. In this study, we compare geophysical inversion and machine learning approaches in solving inverse problems and show similarities and differences of these approaches in a mathematical form and numerical tests. Both methods aid in solving ill-posed and nonlinear problems and use similar optimization techniques. We take reflectivity inversion as an example of the inverse problem. We apply geophysical inversion based on the least-squares method and artificial neural networks as a machine learning approach to solve reflectivity inversion using 2D synthetic data sets and 3D field data sets. A neural network with multiple hidden layers successfully generates the nonlinear mapping function to predict reflectivity. For this inverse problem, we test different L1 regularizers for both approaches. L1 regularization alleviates effects of noise in seismic traces and enhances sparsity, especially in the least-squares method. The 2D synthetic wedge model and field data examples show that neural networks yield high spatial resolution.",2018,26,68,3,false,Computer Science,,2107910408,Yuji Kim,97944579,N. Nakata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dd02246d76d9dfe9d40b5d7974f0c6eb1b3485ce,https://www.semanticscholar.org/paper/dd02246d76d9dfe9d40b5d7974f0c6eb1b3485ce,FedHealth: A Federated Transfer Learning Framework for Wearable Healthcare,"With the rapid development of computing technology, wearable devices make it easy to get access to people's health information. Smart healthcare achieves great success by training machine learning models on a large quantity of user personal data. However, there are two critical challenges. First, user data often exist in the form of isolated islands, making it difficult to perform aggregation without compromising privacy security. Second, the models trained on the cloud fail on personalization. In this article, we propose FedHealth, the first federated transfer learning framework for wearable healthcare to tackle these challenges. FedHealth performs data aggregation through federated learning, and then builds relatively personalized models by transfer learning. Wearable activity recognition experiments and real Parkinson's disease auxiliary diagnosis application have evaluated that FedHealth is able to achieve accurate and personalized healthcare without compromising privacy and security. FedHealth is general and extensible in many healthcare applications.",2019,62,251,22,true,Computer Science,,2109360525,Yiqiang Chen,1519290245,Jindong Wang,1786336,Chaohui Yu,101001846,Wen Gao,2106593912,Xin Qin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4731023f7fe031afd5cce991d7157197a5cceb06,https://www.semanticscholar.org/paper/4731023f7fe031afd5cce991d7157197a5cceb06,Applicability of statistical learning algorithms in groundwater quality modeling,"Four algorithms are outlined, each of which has interesting features for predicting contaminant levels in groundwater. Artificial neural networks (ANN), support vector machines (SVM), locally weighted projection regression (LWPR), and relevance vector machines (RVM) are utilized as surrogates for a relatively complex and time‐consuming mathematical model to simulate nitrate concentration in groundwater at specified receptors. Nitrates in the application reported in this paper are due to on‐ground nitrogen loadings from fertilizers and manures. The practicability of the four learning machines in this work is demonstrated for an agriculture‐dominated watershed where nitrate contamination of groundwater resources exceeds the maximum allowable contaminant level at many locations. Cross‐validation and bootstrapping techniques are used for both training and performance evaluation. Prediction results of the four learning machines are rigorously assessed using different efficiency measures to ensure their generalization ability. Prediction results show the ability of learning machines to build accurate models with strong predictive capabilities and hence constitute a valuable means for saving effort in groundwater contamination modeling and improving model performance.",2005,102,128,8,false,Engineering,Geology,145768793,A. Khalil,2208935,M. Almasri,38543517,M. McKee,145034068,J. Kaluarachchi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86bf4e4eb3087fff0dcaf9d0c0bc00c36fd2d11b,https://www.semanticscholar.org/paper/86bf4e4eb3087fff0dcaf9d0c0bc00c36fd2d11b,Towards human-guided machine learning,"Automated Machine Learning (AutoML) systems are emerging that automatically search for possible solutions from a large space of possible kinds of models. Although fully automated machine learning is appropriate for many applications, users often have knowledge that supplements and constraints the available data and solutions. This paper proposes human-guided machine learning (HGML) as a hybrid approach where a user interacts with an AutoML system and tasks it to explore different problem settings that reflect the user's knowledge about the data available. We present: 1) a task analysis of HGML that shows the tasks that a user would want to carry out, 2) a characterization of two scientific publications, one in neuroscience and one in political science, in terms of how the authors would search for solutions using an AutoML system, 3) requirements for HGML based on those characterizations, and 4) an assessment of existing AutoML systems in terms of those requirements.",2019,44,50,5,true,Computer Science,,145526918,Y. Gil,143755437,James Honaker,2118928002,Shikhar Gupta,2146277142,Yibo Ma,1405498945,Vito D'Orazio,1398926410,D. Garijo,2066310557,Shruti Gadewar,50513690,Qifan Yang,1721831,N. Jahanshad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e3eaf3c461114bc34675b0aa33e48ac0be003451,https://www.semanticscholar.org/paper/e3eaf3c461114bc34675b0aa33e48ac0be003451,The random forest algorithm for statistical learning,"Random forests (Breiman, 2001, Machine Learning 45: 5–32) is a statistical- or machine-learning algorithm for prediction. In this article, we introduce a corresponding new command, rforest. We overview the random forest algorithm and illustrate its use with two examples: The first example is a classification problem that predicts whether a credit card holder will default on his or her debt. The second example is a regression problem that predicts the logscaled number of shares of online news articles. We conclude with a discussion that summarizes key points demonstrated in the examples.",2020,10,108,2,true,Computer Science,,1815604,M. Schonlau,151197773,Rosie Yuyan Zou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
771c14df5fbe14ace4b7f68c2fdc5d3526e4b4ca,https://www.semanticscholar.org/paper/771c14df5fbe14ace4b7f68c2fdc5d3526e4b4ca,Memristive Boltzmann machine: A hardware accelerator for combinatorial optimization and deep learning,"The Boltzmann machine is a massively parallel computational model capable of solving a broad class of combinatorial optimization problems. In recent years, it has been successfully applied to training deep machine learning models on massive datasets. High performance implementations of the Boltzmann machine using GPUs, MPI-based HPC clusters, and FPGAs have been proposed in the literature. Regrettably, the required all-to-all communication among the processing units limits the performance of these efforts. This paper examines a new class of hardware accelerators for large-scale combinatorial optimization and deep learning based on memristive Boltzmann machines. A massively parallel, memory-centric hardware accelerator is proposed based on recently developed resistive RAM (RRAM) technology. The proposed accelerator exploits the electrical properties of RRAm to realize in situ, fine-grained parallel computation within memory arrays, thereby eliminating the need for exchanging data between the memory cells and the computational units. Two classical optimization problems, graph partitioning and boolean satisfiability, and a deep belief network application are mapped onto the proposed hardware. As compared to a multicore system, the proposed accelerator achieves 57x higher performance and 25x lower energy with virtually no loss in the quality of the solution to the optimization problems. The memristive accelerator is also compared against an RRAM based processing-in-memory (PIM) system, with respective performance and energy improvements of 6.89x and 5.2x.",2016,92,171,12,false,Computer Science,,1797114,M. N. Bojnordi,1787439,Engin Ipek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0cf494b6c250f72763bea8031ee82441fc51b1d4,https://www.semanticscholar.org/paper/0cf494b6c250f72763bea8031ee82441fc51b1d4,When Machine Learning Meets Privacy,"The newly emerged machine learning (e.g., deep learning) methods have become a strong driving force to revolutionize a wide range of industries, such as smart healthcare, financial technology, and surveillance systems. Meanwhile, privacy has emerged as a big concern in this machine learning-based artificial intelligence era. It is important to note that the problem of privacy preservation in the context of machine learning is quite different from that in traditional data privacy protection, as machine learning can act as both friend and foe. Currently, the work on the preservation of privacy and machine learning are still in an infancy stage, as most existing solutions only focus on privacy problems during the machine learning process. Therefore, a comprehensive study on the privacy preservation problems and machine learning is required. This article surveys the state of the art in privacy issues and solutions for machine learning. The survey covers three categories of interactions between privacy and machine learning: (i) private machine learning, (ii) machine learning-aided privacy protection, and (iii) machine learning-based privacy attack and corresponding protection schemes. The current research progress in each category is reviewed and the key challenges are identified. Finally, based on our in-depth analysis of the area of privacy and machine learning, we point out future research directions in this field.",2021,180,33,1,true,Computer Science,,2155440032,Bo Liu,145633124,Ming Ding,40221713,Sina Shaham,145492472,W. Rahayu,1803792,F. Farokhi,1740858,Zihuai Lin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69212cb4c6ea3e770152a82e60b7b52997278787,https://www.semanticscholar.org/paper/69212cb4c6ea3e770152a82e60b7b52997278787,Soft Architecture Machines,"This book is an offspring of Negroponte's ""The Architecture Machine, "" published by The MIT Press in 1970. As is usually the case where computer systems are involved, the new generation is several orders of magnitude more powerful than even its remarkably mind-extending parent. The last few years have represented a ""passing from an idiom to a reality, following (not necessarily consciously) notions set down in ""The Architecture Machine"" with an uncanny precision. The prognostications of hardware enumerated in wanton fantasy have been achieved and even superseded in the actual Architecture Machine of 1972.""The general assumption of this new book is that the architect is an unnecessary and even detrimental middleman between individual, continuously changing needs and the continuous incorporation of those needs into the built environment. The book proposes a new kind of architecture without architects, and even without surrogate architects.The first chapter sets forth generally what is involved in learning to understand both the makings of intelligence and the making of architecture. It reveals polarities in attitudes toward thinking about thinking, and it appraises techniques--real and potential--that lead to meaningful thought about the process.A more direct analysis of architectural design activities is presented in the second chapter. Its goal is to achieve a closer coupling between man and machine, and it proposes sidestepping the traditional division of labor in which man and machine are assigned tasks that they are supposed to be respectively better at. Instead, a joint venture model is suggested: man and machine are treated as equal partners, even as candid good friends.The third chapter moves beyond the architect--beyond the need for an outside designer's intervention between our needs and their fulfillment. It asserts that each individual can be the best architect for his own needs and does not require a paternalistic human or mechanical architect to dictate his final decisions.The last chapter--furthest out of all--looks toward a distant future not only beyond the architect but beyond architecture as we know it. Here architecture machines are not simply used as aids in the design of buildings--they serve as buildings in themselves. Man will live in living, intelligent machines or cognitive physical environments that can immediately respond to his needs or wishes or whims. The possibilities are unlimited and a challenge to any imagination.",1976,0,292,8,false,Engineering,,2687459,N. Negroponte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46f87a8bae08e872e3200987e3ba9d01237b46c2,https://www.semanticscholar.org/paper/46f87a8bae08e872e3200987e3ba9d01237b46c2,A Quality Control Model with Learning Effects,"Abstract We present a model that extends a variant of the classic quality control/machine maintenance model by adding the concept of quality-based learning. The extension captures the idea that operators of a production process may be able to discover and eliminate defects in the system if, during an inspection, they find the process to be “out of control”. Thus, the distinguishing feature of the model is that one inspects the process not only for the purpose of riring the machine, but also in the hope that the machine will be caught in the act of producing defective output, so that a source of problems is uncovered and eliminated. The paper provides a characterization of optimal inspection policies and suggest the managerial implications: Ignoring the learning benefits of inspection and quality control activities may lead to underinvestment in quality improvement activities, which, in turn, may hinder both cost and quality competitiveness.",1988,17,113,5,false,Computer Science,,2405534,Charles H. Fine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
