paperId,url,title,abstract,year,referenceCount,citationCount,influentialCitationCount,isOpenAccess,fieldsOfStudy/0,authors/0/authorId,authors/0/name,authors/1/authorId,authors/1/name,fieldsOfStudy/1,fieldsOfStudy/2,authors/2/authorId,authors/2/name,authors/3/authorId,authors/3/name,authors/4/authorId,authors/4/name,authors/5/authorId,authors/5/name,authors/6/authorId,authors/6/name,authors/7/authorId,authors/7/name,authors/8/authorId,authors/8/name,authors/9/authorId,authors/9/name,authors/10/authorId,authors/10/name,authors/11/authorId,authors/11/name,authors/12/authorId,authors/12/name,fieldsOfStudy/3,authors/13/authorId,authors/13/name,authors/14/authorId,authors/14/name,authors/15/authorId,authors/15/name,authors/16/authorId,authors/16/name,authors/17/authorId,authors/17/name,authors/18/authorId,authors/18/name,authors/19/authorId,authors/19/name,authors/20/authorId,authors/20/name,authors/21/authorId,authors/21/name,authors/22/authorId,authors/22/name
256db9dba1978f004a67c86ffc321563b1aee79a,https://www.semanticscholar.org/paper/256db9dba1978f004a67c86ffc321563b1aee79a,Interpretable Machine Learning: Fundamental Principles and 10 Grand Challenges,"Interpretability in machine learning (ML) is crucial for high stakes decisions and troubleshooting. In this work, we provide fundamental principles for interpretable ML, and dispel common misunderstandings that dilute the importance of this crucial topic. We also identify 10 technical challenge areas in interpretable machine learning and provide history and background on each problem. Some of these problems are classically important, and some are recent problems that have arisen in the last few years. These problems are: (1) Optimizing sparse logical models such as decision trees; (2) Optimization of scoring systems; (3) Placing constraints into generalized additive models to encourage sparsity and better interpretability; (4) Modern case-based reasoning, including neural networks and matching for causal inference; (5) Complete supervised disentanglement of neural networks; (6) Complete or even partial unsupervised disentanglement of neural networks; (7) Dimensionality reduction for data visualization; (8) Machine learning models that can incorporate physics and other generative or causal constraints; (9) Characterization of the “Rashomon set” of good models; and (10) Interpretable reinforcement learning. This survey is suitable as a starting point for statisticians and computer scientists interested in working in interpretable machine learning.1",2021,346,145,8,false,Computer Science,48395540,C. Rudin,,Chaofan Chen,Mathematics,,2143786389,Zhi Chen,2146285954,Haiyang Huang,151489878,Lesia Semenova,1750932565,Chudi Zhong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cd1c2c19cc2921bd67d1b08a57c96014043e717e,https://www.semanticscholar.org/paper/cd1c2c19cc2921bd67d1b08a57c96014043e717e,Machine learning methods for metabolic pathway prediction,,2010,36,153,6,false,Computer Science,49072211,J. Dale,114129852,Liviu Popescu,Medicine,Biology,1807113,P. Karp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30e0ffeb519a4df2d4a2067e899c5fb5c5e85e70,https://www.semanticscholar.org/paper/30e0ffeb519a4df2d4a2067e899c5fb5c5e85e70,Exploiting Unintended Feature Leakage in Collaborative Learning,"Collaborative machine learning and related techniques such as federated learning allow multiple participants, each with his own training dataset, to build a joint model by training locally and periodically exchanging model updates. We demonstrate that these updates leak unintended information about participants' training data and develop passive and active inference attacks to exploit this leakage. First, we show that an adversarial participant can infer the presence of exact data points -- for example, specific locations -- in others' training data (i.e., membership inference). Then, we show how this adversary can infer properties that hold only for a subset of the training data and are independent of the properties that the joint model aims to capture. For example, he can infer when a specific person first appears in the photos used to train a binary gender classifier. We evaluate our attacks on a variety of tasks, datasets, and learning configurations, analyze their limitations, and discuss possible defenses.",2018,70,724,74,true,Computer Science,145557680,Luca Melis,3469125,Congzheng Song,,,1728207,Emiliano De Cristofaro,1723945,Vitaly Shmatikov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c940a2144b1e5cc89bbeb9003b5f3541e50fc9e1,https://www.semanticscholar.org/paper/c940a2144b1e5cc89bbeb9003b5f3541e50fc9e1,"eXpose: A Character-Level Convolutional Neural Network with Embeddings For Detecting Malicious URLs, File Paths and Registry Keys","For years security machine learning research has promised to obviate the need for signature based detection by automatically learning to detect indicators of attack. Unfortunately, this vision hasn't come to fruition: in fact, developing and maintaining today's security machine learning systems can require engineering resources that are comparable to that of signature-based detection systems, due in part to the need to develop and continuously tune the ""features"" these machine learning systems look at as attacks evolve. Deep learning, a subfield of machine learning, promises to change this by operating on raw input signals and automating the process of feature design and extraction. In this paper we propose the eXpose neural network, which uses a deep learning approach we have developed to take generic, raw short character strings as input (a common case for security inputs, which include artifacts like potentially malicious URLs, file paths, named pipes, named mutexes, and registry keys), and learns to simultaneously extract features and classify using character-level embeddings and convolutional neural network. In addition to completely automating the feature design and extraction process, eXpose outperforms manual feature extraction based baselines on all of the intrusion detection problems we tested it on, yielding a 5%-10% detection rate gain at 0.1% false positive rate compared to these baselines.",2017,35,159,25,false,Computer Science,39617543,Joshua Saxe,2040708537,Konstantin Berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7e152e587fbc73b5bd23048c71c1b36c569416c5,https://www.semanticscholar.org/paper/7e152e587fbc73b5bd23048c71c1b36c569416c5,EMBER: An Open Dataset for Training Static PE Malware Machine Learning Models,"This paper describes EMBER: a labeled benchmark dataset for training machine learning models to statically detect malicious Windows portable executable files. The dataset includes features extracted from 1.1M binary files: 900K training samples (300K malicious, 300K benign, 300K unlabeled) and 200K test samples (100K malicious, 100K benign). To accompany the dataset, we also release open source code for extracting features from additional binaries so that additional sample features can be appended to the dataset. This dataset fills a void in the information security machine learning community: a benign/malicious dataset that is large, open and general enough to cover several interesting use cases. We enumerate several use cases that we considered when structuring the dataset. Additionally, we demonstrate one use case wherein we compare a baseline gradient boosted decision tree model trained using LightGBM with default settings to MalConv, a recently published end-to-end (featureless) deep learning model for malware detection. Results show that even without hyper-parameter optimization, the baseline EMBER model outperforms MalConv. The authors hope that the dataset, code and baseline model provided by EMBER will help invigorate machine learning research for malware detection, in much the same way that benchmark datasets have advanced computer vision research.",2018,31,222,61,false,Computer Science,2639880,H. Anderson,153379407,P. Roth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bfbdf36d50066c39dedf688150d63ba4b84d7e52,https://www.semanticscholar.org/paper/bfbdf36d50066c39dedf688150d63ba4b84d7e52,DroidDetector: Android Malware Characterization and Detection Using Deep Learning,"Smartphones and mobile tablets are rapidly becoming indispensable in daily life. Android has been the most popular mobile operating system since 2012. However, owing to the open nature of Android, countless malwares are hidden in a large number of benign apps in Android markets that seriously threaten Android security. Deep learning is a new area of machine learning research that has gained increasing attention in artificial intelligence. In this study, we propose to associate the features from the static analysis with features from dynamic analysis of Android apps and characterize malware using deep learning techniques. We implement an online deep-learning-based Android malware detection engine (DroidDetector) that can automatically detect whether an app is a malware or not. With thousands of Android apps, we thoroughly test DroidDetector and perform an indepth analysis on the features that deep learning essentially exploits to characterize malware. The results show that deep learning is suitable for characterizing Android malware and especially effective with the availability of more training data. DroidDetector can achieve 96.76% detection accuracy, which outperforms traditional machine learning techniques. An evaluation of ten popular anti-virus softwares demonstrates the urgency of advancing our capabilities in Android malware detection.",2016,34,316,15,true,Engineering,2970223,Zhenlong Yuan,2115728499,Yongqiang Lu,,,2564865,Y. Xue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613cca60171b063ff78f9346dd1b199a438375a6,https://www.semanticscholar.org/paper/613cca60171b063ff78f9346dd1b199a438375a6,Physics-informed machine learning approach for reconstructing Reynolds stress modeling discrepancies based on DNS data,We show that the discrepancies in Reynolds-averaged Navier-Stokes (RANS) modeled Reynolds stresses can be explained by mean flow features. A physics-informed machine learning framework is proposed to improve the predictive capabilities of RANS models by leveraging existing direct numerical simulations databases.,2016,57,385,11,true,Physics,2110206668,Jian-Xun Wang,47876141,Jinlong Wu,,,41193045,Heng Xiao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b8e49216e5b4a017342b0be5f6fbbd79e690a1c7,https://www.semanticscholar.org/paper/b8e49216e5b4a017342b0be5f6fbbd79e690a1c7,Optimal auctions through deep learning,"Designing an incentive compatible auction that maximizes expected revenue is an intricate task. The single-item case was resolved in a seminal piece of work by Myerson in 1981. Even after 30--40 years of intense research, the problem remains unsolved for settings with two or more items. We overview recent research results that show how tools from deep learning are shaping up to become a powerful tool for the automated design of near-optimal auctions auctions. In this approach, an auction is modeled as a multilayer neural network, with optimal auction design framed as a constrained learning problem that can be addressed with standard machine learning pipelines. Through this approach, it is possible to recover to a high degree of accuracy essentially all known analytically derived solutions for multi-item settings and obtain novel mechanisms for settings in which the optimal mechanism is unknown.",2017,111,147,28,true,Computer Science,3086323,Paul Dütting,2113906856,Zhe Feng,,,1727387,H. Narasimhan,30907562,D. Parkes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6ac519dae1b2b6427ac271ebe964cdf7ecaa63e4,https://www.semanticscholar.org/paper/6ac519dae1b2b6427ac271ebe964cdf7ecaa63e4,"Advanced lectures on machine learning : ML Summer Schools 2003, Canberra, Australia, February 2-14, 2003, Tübingen, Germany, August 4-16, 2003 : revised lectures",,2004,0,75,2,false,Computer Science,1698617,O. Bousquet,1728654,U. V. Luxburg,History,,2414086,G. Rätsch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ec4f1eb6d2f38879792419e90ab3821460bc90f7,https://www.semanticscholar.org/paper/ec4f1eb6d2f38879792419e90ab3821460bc90f7,Empirical assessment of machine learning based software defect prediction techniques,"The wide-variety of real-time software systems, including telecontrol/telepresence systems, robotic systems, and mission planning systems, can entail dynamic code synthesis based on runtime mission-specific requirements and operating conditions. This necessitates the need for dynamic dependability assessment to ensure that these systems perform as specified and not fail in catastrophic ways. One approach in achieving this is to dynamically assess the modules in the synthesized code using software defect prediction techniques. Statistical models; such as stepwise multi-linear regression models and multivariate models, and machine learning approaches, such as artificial neural networks, instance-based reasoning, Bayesian-belief networks, decision trees, and rule inductions, have been investigated for predicting software quality. However, there is still no consensus about the best predictor model for software defects. In this paper; we evaluate different predictor models on four different real-time software defect data sets. The results show that a combination of IR and instance-based learning along with the consistency-based subset evaluation technique provides a relatively better consistency in accuracy prediction compared to other models. The results also show that ""size"" and ""complexity"" metrics are not sufficient for accurately predicting real-time software defects.",2005,25,263,12,false,Computer Science,2313270,Venkata U. B. Challagulla,1788188,F. Bastani,,,9082943,I. Yen,1762814,R. Paul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d4381c70fc6ec2ee023ff9ebaf50547e58fff3a6,https://www.semanticscholar.org/paper/d4381c70fc6ec2ee023ff9ebaf50547e58fff3a6,Support Vector Machine Classification Algorithm and Its Application,,2012,7,89,14,false,Computer Science,46868588,Yongli Zhang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7184ed59dde95f27f45c0ec64ccdf01878baa7e2,https://www.semanticscholar.org/paper/7184ed59dde95f27f45c0ec64ccdf01878baa7e2,Galaxy Zoo: reproducing galaxy morphologies via machine learning★,"We present morphological classifications obtained using machine learning for objects in the Sloan Digital Sky Survey DR6 that have been classified by Galaxy Zoo into three classes, namely early types, spirals and point sources/artefacts. An artificial neural network is trained on a subset of objects classified by the human eye, and we test whether the machine-learning algorithm can reproduce the human classifications for the rest of the sample. We find that the success of the neural network in matching the human classifications depends crucially on the set of input parameters chosen for the machine-learning algorithm. The colours and parameters associated with profile fitting are reasonable in separating the objects into three classes. However, these results are considerably improved when adding adaptive shape parameters as well as concentration and texture. The adaptive moments, concentration and texture parameters alone cannot distinguish between early type galaxies and the point sources/artefacts. Using a set of 12 parameters, the neural network is able to reproduce the human classifications to better than 90 per cent for all three morphological classes. We find that using a training set that is incomplete in magnitude does not degrade our results given our particular choice of the input parameters to the network. We conclude that it is promising to use machine-learning algorithms to perform morphological classification for the next generation of wide-field imaging surveys and that the Galaxy Zoo catalogue provides an invaluable training set for such purposes.",2009,34,161,15,true,Physics,32608670,M. Banerji,103135769,O. Lahav,,,34769917,C. Lintott,4373369,F. Abdalla,6552704,K. Schawinski,3297934,S. Bamford,34647376,D. Andreescu,144442878,P. Murray,2873960,M. Raddick,102304245,A. Slosar,7934073,A. Szalay,2111204168,D. Thomas,144979911,J. vandenBerg,,,,,,,,,,,,,,,,,,,,,
21c76cc8ebfb9c112c2594ce490b47e458b50e31,https://www.semanticscholar.org/paper/21c76cc8ebfb9c112c2594ce490b47e458b50e31,American Sign Language Recognition Using Leap Motion Sensor,"In this paper, we present an American Sign Language recognition system using a compact and affordable 3D motion sensor. The palm-sized Leap Motion sensor provides a much more portable and economical solution than Cyblerglove or Microsoft kinect used in existing studies. We apply k-nearest neighbor and support vector machine to classify the 26 letters of the English alphabet in American Sign Language using the derived features from the sensory data. The experiment result shows that the highest average classification rate of 72.78% and 79.83% was achieved by k-nearest neighbor and support vector machine respectively. We also provide detailed discussions on the parameter setting in machine learning methods and accuracy of specific alphabet letters in this paper.",2014,5,170,20,false,Computer Science,2061766,C. Chuan,15529331,Eric Regina,,,3215225,Caroline Guardino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01b24de15cf337c55b9866c4b534596ca3d93abe,https://www.semanticscholar.org/paper/01b24de15cf337c55b9866c4b534596ca3d93abe,Geometric diffusions as a tool for harmonic analysis and structure definition of data: diffusion maps.,"We provide a framework for structural multiscale geometric organization of graphs and subsets of R(n). We use diffusion semigroups to generate multiscale geometries in order to organize and represent complex structures. We show that appropriately selected eigenfunctions or scaling functions of Markov matrices, which describe local transitions, lead to macroscopic descriptions at different scales. The process of iterating or diffusing the Markov matrix is seen as a generalization of some aspects of the Newtonian paradigm, in which local infinitesimal transitions of a system lead to global macroscopic descriptions by integration. We provide a unified view of ideas from data analysis, machine learning, and numerical analysis.",2005,25,1433,66,true,Computer Science,1780112,R. Coifman,37805393,S. Lafon,Medicine,,2107734495,A. B. Lee,34207023,M. Maggioni,1786884,B. Nadler,49818480,F. Warner,1698824,S. Zucker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
761d8b21b078c7b9bb876583fee38ec369be2efe,https://www.semanticscholar.org/paper/761d8b21b078c7b9bb876583fee38ec369be2efe,Rule-based Machine Learning Methods for Functional Prediction,"We describe a machine learning method for predicting the value of a real-valued function, given the values of multiple input variables. The method induces solutions from samples in the form of ordered disjunctive normal form (DNF) decision rules. A central objective of the method and representation is the induction of compact, easily interpretable solutions. This rule-based decision model can be extended to search efficiently for similar cases prior to approximating function values. Experimental results on real-world data demonstrate that the new techniques are competitive with existing machine learning and statistical methods and can sometimes yield superior regression performance.",1995,31,179,12,true,Computer Science,145700185,S. Weiss,1726727,N. Indurkhya,Mathematics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f7f2d6450d50ee11d3c5827ca1997daafef0a8fb,https://www.semanticscholar.org/paper/f7f2d6450d50ee11d3c5827ca1997daafef0a8fb,Applications of Machine Learning in Real-Life Digital Health Interventions: Review of the Literature,"Background Machine learning has attracted considerable research interest toward developing smart digital health interventions. These interventions have the potential to revolutionize health care and lead to substantial outcomes for patients and medical professionals. Objective Our objective was to review the literature on applications of machine learning in real-life digital health interventions, aiming to improve the understanding of researchers, clinicians, engineers, and policy makers in developing robust and impactful data-driven interventions in the health care domain. Methods We searched the PubMed and Scopus bibliographic databases with terms related to machine learning, to identify real-life studies of digital health interventions incorporating machine learning algorithms. We grouped those interventions according to their target (ie, target condition), study design, number of enrolled participants, follow-up duration, primary outcome and whether this had been statistically significant, machine learning algorithms used in the intervention, and outcome of the algorithms (eg, prediction). Results Our literature search identified 8 interventions incorporating machine learning in a real-life research setting, of which 3 (37%) were evaluated in a randomized controlled trial and 5 (63%) in a pilot or experimental single-group study. The interventions targeted depression prediction and management, speech recognition for people with speech disabilities, self-efficacy for weight loss, detection of changes in biopsychosocial condition of patients with multiple morbidity, stress management, treatment of phantom limb pain, smoking cessation, and personalized nutrition based on glycemic response. The average number of enrolled participants in the studies was 71 (range 8-214), and the average follow-up study duration was 69 days (range 3-180). Of the 8 interventions, 6 (75%) showed statistical significance (at the P=.05 level) in health outcomes. Conclusions This review found that digital health interventions incorporating machine learning algorithms in real-life studies can be useful and effective. Given the low number of studies identified in this review and that they did not follow a rigorous machine learning evaluation methodology, we urge the research community to conduct further studies in intervention settings following evaluation principles and demonstrating the potential of machine learning in clinical practice.",2019,57,115,1,true,Medicine,39427767,Andreas K Triantafyllidis,2151583,A. Tsanas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210b2a60c77d9f34f3a78a3214e4732e7413728e,https://www.semanticscholar.org/paper/210b2a60c77d9f34f3a78a3214e4732e7413728e,Machine learning in genome‐wide association studies,"Recently, genome‐wide association studies have substantially expanded our knowledge about genetic variants that influence the susceptibility to complex diseases. Although standard statistical tests for each single‐nucleotide polymorphism (SNP) separately are able to capture main genetic effects, different approaches are necessary to identify SNPs that influence disease risk jointly or in complex interactions. Experimental and simulated genome‐wide SNP data provided by the Genetic Analysis Workshop 16 afforded an opportunity to analyze the applicability and benefit of several machine learning methods. Penalized regression, ensemble methods, and network analyses resulted in several new findings while known and simulated genetic risk variants were also identified. In conclusion, machine learning approaches are promising complements to standard single‐and multi‐SNP analysis methods for understanding the overall genetic architecture of complex human diseases. However, because they are not optimized for genome‐wide SNP data, improved implementations and new variable selection procedures are required. Genet. Epidemiol. 33 (Suppl. 1):S51–S57, 2009. © 2009 Wiley‐Liss, Inc.",2009,61,136,11,true,Biology,3073224,S. Szymczak,1839708,J. Biernacka,Medicine,,2505364,H. Cordell,102050270,O. González-Recio,1825863,I. König,48212763,Heping Zhang,40586355,Yan V. Sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
594c60b58590b9eda5be787a25974a8b34ec6c17,https://www.semanticscholar.org/paper/594c60b58590b9eda5be787a25974a8b34ec6c17,Machine learning based hyperspectral image analysis: A survey,"Hyperspectral sensors enable the study of the chemical properties of scene materials remotely for the purpose of identification, detection, and chemical composition analysis of objects in the environment. Hence, hyperspectral images captured from earth observing satellites and aircraft have been increasingly important in agriculture, environmental monitoring, urban planning, mining, and defense. Machine learning algorithms due to their outstanding predictive power have become a key tool for modern hyperspectral image analysis. Therefore, a solid understanding of machine learning techniques have become essential for remote sensing researchers and practitioners. This paper reviews and compares recent machine learning-based hyperspectral image analysis methods published in literature. We organize the methods by the image analysis task and by the type of machine learning algorithm, and present a two-way mapping between the image analysis tasks and the types of machine learning algorithms that can be applied to them. The paper is comprehensive in coverage of both hyperspectral image analysis tasks and machine learning algorithms. The image analysis tasks considered are land cover classification, target detection, unmixing, and physical parameter estimation. The machine learning algorithms covered are Gaussian models, linear regression, logistic regression, support vector machines, Gaussian mixture model, latent linear models, sparse linear models, Gaussian mixture models, ensemble learning, directed graphical models, undirected graphical models, clustering, Gaussian processes, Dirichlet processes, and deep learning. We also discuss the open challenges in the field of hyperspectral image analysis and explore possible future directions.",2018,352,77,1,false,Computer Science,7372271,Utsav B. Gewali,2763808,S. Monteiro,Engineering,,1733172,E. Saber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
